Symbol,Name,LastSale,MarketCap,ADR_TSO,IPOyear,Sector,Industry,Summary_Quote
SBOW,"SilverBow Resorces, Inc.",13.77,161703299.4,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sbow
SPG,"Simon Property Group, Inc.",158.64,49018745973,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/spg
SPG^J,"Simon Property Group, Inc.",69,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spg^j
SSD,"Simpson Manufacturing Company, Inc.",66.26,2959297958,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ssd
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",39.93,4321948731,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shi
SITC,SITE Centers Corp.,13.07,2359738037,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sitc
SITC^A,SITE Centers Corp.,25.7925,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sitc^a
SITC^J,SITE Centers Corp.,25.27,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sitc^j
SITC^K,SITE Centers Corp.,25.67,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sitc^k
SITE,"SiteOne Landscape Supply, Inc.",69.88,2865754272,n/a,2016,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/site
SIX,Six Flags Entertainment Corporation New,51.98,4379738065,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/six
SJW,SJW Group,61.23,1741048109,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/sjw
SKM,"SK Telecom Co., Ltd.",24.72,16005604915,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/skm
SKX,"Skechers U.S.A., Inc.",32.19,5066725475,n/a,1999,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/skx
SKY,Skyline Champion Corporation,27.2,1541075595,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/sky
SLG,SL Green Realty Corp,80.09,6753769372,n/a,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/slg
SLG^I,SL Green Realty Corp,26.03,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/slg^i
WORK,"Slack Technologies, Inc.",36.55,18439918498,n/a,2019,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/work
SM,SM Energy Company,12.34,1385097685,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sm
SMAR,Smartsheet Inc.,49.52,5277081914,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/smar
SNN,"Smith & Nephew SNATS, Inc.",43.72,19121757728,n/a,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/snn
SNAP,Snap Inc.,14.35,19229918429,n/a,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/snap
SNA,Snap-On Incorporated,165.35,9161125311,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sna
IPOA,Social Capital Hedosophia Holdings Corp.,10.4,897000000,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/ipoa
IPOA.U,Social Capital Hedosophia Holdings Corp.,n/a,0,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/ipoa.u
IPOA.WS,Social Capital Hedosophia Holdings Corp.,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ipoa.ws
SQM,Sociedad Quimica y Minera S.A.,30.55,8040653808,n/a,1993,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sqm
SOGO,Sogou Inc.,4.14,1620202973,n/a,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/sogo
SOI,"Solaris Oilfield Infrastructure, Inc.",14.82,705249565.8,n/a,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/soi
SWI,SolarWinds Corporation,18,5581056672,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/swi
SAH,"Sonic Automotive, Inc.",23.35,1005936820,n/a,1997,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/sah
SON,Sonoco Products Company,65.82,6585081363,n/a,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/son
SNE,Sony Corp Ord,53.71,67110405722,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/sne
BID,Sotheby&#39;s,58.28,2716594275,n/a,1988,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bid
SOR,"Source Capital, Inc.",36.8095,313245311.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sor
SJI,"South Jersey Industries, Inc.",33.38,3083934005,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sji
SJIU,"South Jersey Industries, Inc.",53.39,0,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sjiu
SCE^G,Southern California Edison Company,22.51,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^g
SCE^H,Southern California Edison Company,24.2676,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^h
SCE^J,Southern California Edison Company,24.06,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^j
SCE^K,Southern California Edison Company,24.071,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^k
SCE^L,Southern California Edison Company,22.3,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^l
SO,Southern Company (The),54.84,57049817943,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/so
SOJA,Southern Company (The),26.38,0,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/soja
SOJB,Southern Company (The),25.72,0,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/sojb
SOJC,Southern Company (The),25.48,0,n/a,2017,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/sojc
SCCO,Southern Copper Corporation,38.49,29754481612,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/scco
LUV,Southwest Airlines Company,51.54,27989563812,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/luv
SWX,"Southwest Gas Holdings, Inc.",89.41,4774188486,n/a,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/swx
SWN,Southwestern Energy Company,3.06,1655939627,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/swn
SPAQ,Spartan Energy Acquisition Corp,10,690000000,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/spaq
SPAQ.U,Spartan Energy Acquisition Corp,n/a,0,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/spaq.u
SPAQ.WS,Spartan Energy Acquisition Corp,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spaq.ws
SPE,Special Opportunities Fund Inc.,13.82,117483377.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spe
SPE^B,Special Opportunities Fund Inc.,25.1401,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spe^b
SPB           ,"Spectrum Brands Holdings, Inc.",52.9,2579625968,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/spb
TRK,"Speedway Motorsports, Inc.",18.54,757125433.1,n/a,1995,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/trk
SR,Spire Inc.,83.62,4243370486,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sr
SR^A,Spire Inc.,26.24,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sr^a
SPR,"Spirit Aerosystems Holdings, Inc.",80.83,8361934388,n/a,2006,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/spr
SAVE,"Spirit Airlines, Inc.",48.94,3349394138,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/save
SMTA,Spirit MTA REIT,8.3,358227427.3,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/smta
SRC,"Spirit Realty Capital, Inc.",42.35,4185798278,n/a,2013,Consumer Services,Building operators,https://www.nasdaq.com/symbol/src
SRC^A,"Spirit Realty Capital, Inc.",24.75,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/src^a
SPOT,Spotify Technology S.A.,145.29,26249240934,n/a,2018,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/spot
SRLP,Sprague Resources LP,18.31,416259118.9,n/a,2013,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/srlp
S,Sprint Corporation,6.58,26917514008,n/a,2013,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/s
SPXC,SPX Corporation,33.48,1468667997,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/spxc
FLOW,"SPX FLOW, Inc.",39.84,1694547907,n/a,2015,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/flow
SQ,"Square, Inc.",73.2,30961171663,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sq
JOE,St. Joe Company (The),17.52,1054713356,n/a,n/a,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/joe
STAG,"Stag Industrial, Inc.",30.14,3787165265,n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stag
STAG^C,"Stag Industrial, Inc.",26.65,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stag^c
SSI,"Stage Stores, Inc.",0.784,22472008.38,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/ssi
SMP,"Standard Motor Products, Inc.",45.17,1009851913,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/smp
SXI,Standex International Corporation,73.77,933271720.8,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sxi
SWJ,"Stanley Black & Decker, Inc.",25.52,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swj
SWK,"Stanley Black & Decker, Inc.",147.24,22311625128,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swk
SWP,"Stanley Black & Decker, Inc.",103.45,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swp
STN,Stantec Inc,24.09,2690241644,n/a,n/a,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/stn
SGU,"Star Group, L.P.",9.95,498299731.3,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sgu
SRT,"StarTek, Inc.",8.39,321804818,n/a,1997,Technology,Professional Services,https://www.nasdaq.com/symbol/srt
STWD,"STARWOOD PROPERTY TRUST, INC.",22.66,6351513274,n/a,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stwd
STT,State Street Corporation,56.69,21154662738,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stt
STT^C,State Street Corporation,25.26,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^c
STT^D,State Street Corporation,26.46,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^d
STT^E,State Street Corporation,25.427,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^e
STT^G,State Street Corporation,26.52,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^g
SPLP,Steel Partners Holdings LP,13.85,345677538,n/a,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/splp
SPLP^A,Steel Partners Holdings LP,21.13,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/splp^a
SCS,Steelcase Inc.,17.23,2021519864,n/a,1998,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/scs
SCA,Stellus Capital Investment Corporation,25.481,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sca
SCM,Stellus Capital Investment Corporation,13.84,261658472.6,n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/scm
SCL,Stepan Company,92.47,2091112049,n/a,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/scl
STE,STERIS plc,149.89,12673538102,n/a,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ste
STL,Sterling Bancorp,21.38,4482956262,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stl
STL^A,Sterling Bancorp,27.34,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stl^a
STC,Stewart Information Services Corporation,40.52,966251792.4,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/stc
SF,Stifel Financial Corporation,59.38,4201952366,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf
SF^A,Stifel Financial Corporation,26.07,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf^a
SF^B,Stifel Financial Corporation,26.065,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sf^b
SFB,Stifel Financial Corporation,24.57,0,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sfb
STM,STMicroelectronics N.V.,18.35,16367608414,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/stm
EDF,Stone Harbor Emerging Markets Income Fund,13.9,225058986.6,n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/edf
EDI,Stone Harbor Emerging Markets Total Income Fund,12.75,123729876,n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/edi
STON,StoneMor Partners L.P.,1.99,76194825.43,n/a,2004,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ston
SRI,"Stoneridge, Inc.",31.91,915646441.1,n/a,1997,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sri
STOR,STORE Capital Corporation,33.12,7520561348,n/a,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stor
GJH,STRATS Trust,9.74,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjh
GJO,STRATS Trust,23.1531,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjo
GJS,STRATS Trust,20.487,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjs
SYK,Stryker Corporation,206.54,77206734956,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/syk
MSC,Studio City International Holdings Limited,19.5,1532357658,n/a,2018,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/msc
RGR,"Sturm, Ruger & Company, Inc.",54.97,959667359.4,n/a,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/rgr
SPH,"Suburban Propane Partners, L.P.",23.84,1470110097,n/a,1996,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sph
SMFG,Sumitomo Mitsui Financial Group Inc,7.02,48836657587,n/a,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/smfg
INN,"Summit Hotel Properties, Inc.",11.39,1196867385,n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/inn
INN^D,"Summit Hotel Properties, Inc.",25.7,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/inn^d
INN^E,"Summit Hotel Properties, Inc.",25.51,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/inn^e
SUM,"Summit Materials, Inc.",18.86,2113595502,n/a,2015,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sum
SMLP,"Summit Midstream Partners, LP",7.35,607810535.9,n/a,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/smlp
SUI,"Sun Communities, Inc.",129.53,11744601807,n/a,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sui
SLF,Sun Life Financial Inc.,41.73,24710446165,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/slf
SXC,"SunCoke Energy, Inc.",8.75,569635071.3,n/a,2011,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sxc
